"","296-100-3","296-20-3","296-60-3","297-100-3","297-40-3","297-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","307-100-3","307-20-3","307-200-3","307-40-3","307-60-3","310-100-3","310-40-3","310-60-3","311-20-3","311-40-3","312-20-3","312-200-3","313-20-3","313-90-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","318-100-3","318-20-3","318-40-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","322-100-3","322-20-3","322-200-3","322-40-3","322-60-3","323-100-3","323-200-3","326-100-3","326-20-3","326-200-3","326-40-3","326-55-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3","330-100-3","330-20-3","330-200-3","330-40-3","330-60-3","178-100-3","178-20-3","178-200-3","178-40-3","178-60-3","179-100-3","179-20-3","179-60-3","193-100-3","193-20-3","193-40-3","193-60-3","241-100-3","241-20-3","241-200-3","241-40-3","241-60-3","262-20-3","262-200-3","262-40-3","262-60-3","267-100-3","267-20-3","267-200-3","267-60-3","287-100-3","287-20-3","287-200-3","287-40-3","287-60-3"
"307-20-3",1,1,1,1,1,1,1,1,-0.99,1,-0.43,0.93,-0.68,1,-1,0.62,0.66,-1,-0.99,1,0.99,-1,1,-1,-1,0.59,0,0.99,-1,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,0.85,-1,0.88,1,-1,-0.83,1,1,-0.87,0.62,1,0.97,1,1,1,0.3,1,-0.14,1,0.87,0.28,1,0.92,0.98,0.85,0.95,0.97,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-200-3",0.97,1,0.99,0.93,1,0.99,1,0.21,1,-0.26,1,0.94,1,0.5,1,1,1,1,1,-0.15,0.16,0.96,-0.99,0.98,0.95,0.68,0.99,0,1,1,1,1,0.99,1,1,1,-0.87,1,1,0.99,1,0.99,1,0.97,-0.21,1,0.97,0.18,-0.01,1,1,-0.08,1,0.96,0.27,0.36,1,-0.41,1,-0.25,1,1,0.9,1,-0.47,1,1,1,0.63,0.83,1,-0.39,1,1,0.99,1,0.6,1,1,1,1,0.11,1,1,1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,0.83,0.99,1,0.99,0.43,1,1,1,1,0.99,1,0.92,0.99,0.31,1,0.98
"307-40-3",1,1,1,1,1,1,1,1,-0.98,1,-0.32,0.97,-0.55,1,-1,0.65,0.74,-1,-1,1,0.99,-1,1,-1,-1,0.7,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,0.9,-1,0.9,1,-1,-0.85,1,1,-0.91,0.62,1,0.98,1,1,1,0.34,1,-0.15,1,0.84,0.36,1,0.93,0.97,0.89,0.97,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-60-3",1,1,1,1,1,1,1,1,-0.99,1,-0.3,0.93,-0.55,0.99,-1,0.51,0.47,-1,-1,1,0.98,-1,1,-1,-1,0.56,-1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.9,-1,0.92,1,-1,-0.78,1,1,-0.89,0.8,1,0.99,1,1,1,0.57,1,0.03,1,0.91,0.5,1,0.96,0.99,0.92,0.95,0.96,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310-100-3",1,1,1,1,1,1,1,1,-0.95,1,0.09,0.99,-0.46,1,-0.99,0.88,0.91,-0.98,-0.93,1,1,-1,0.96,-1,-1,0.94,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.98,-1,0.98,1,-0.98,-0.36,1,1,-0.55,0.94,1,1,1,1,1,0.68,1,0.47,1,0.88,0.78,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310-40-3",1,1,1,1,1,1,1,1,-0.93,1,0.23,0.99,-0.31,1,-0.99,0.92,0.95,-0.96,-0.92,1,1,-1,0.97,-1,-1,0.95,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0.99,-1,0.99,1,-0.95,-0.17,1,1,-0.41,0.96,1,1,1,1,1,0.77,1,0.57,1,0.9,0.84,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310-60-3",1,1,1,1,1,1,1,1,-0.94,1,0.35,0.99,-0.29,1,-0.97,0.84,0.85,-0.96,-0.95,1,1,-1,0.99,-1,-1,0.79,-1,0.99,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0.97,-1,0.97,1,-0.98,-0.48,1,1,-0.43,0.97,1,1,1,1,1,0.88,1,0.66,1,0.97,0.91,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"311-20-3",1,1,1,1,1,1,1,1,-0.98,1,-0.18,0.98,-0.54,1,-1,0.79,0.74,-1,-0.99,1,1,-1,1,-1,-1,0.81,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0.99,-1,-1,-1,-1,0.95,-1,0.97,1,-0.95,-0.7,1,1,-0.56,0.83,1,0.99,1,1,1,0.6,1,0.09,0.99,0.95,0.59,1,0.95,0.98,0.93,0.98,0.99,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"311-40-3",1,1,1,1,1,1,1,1,-0.97,1,-0.04,1,-0.43,1,-1,0.86,0.77,-1,-0.99,1,1,-1,1,-1,-1,0.82,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0.97,-1,0.97,1,-0.93,-0.66,1,1,-0.43,0.9,1,1,1,1,1,0.74,1,0.16,0.99,0.97,0.55,1,0.97,0.99,0.97,0.99,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"312-20-3",1,1,1,1,1,1,1,1,-0.97,1,-0.22,0.99,-0.5,0.99,-1,0.77,0.77,-0.99,-0.98,1,1,-1,1,-1,-0.99,0.78,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0.94,-1,0.95,1,-0.99,-0.9,1,1,-0.75,0.74,1,0.98,1,1,1,0.47,1,-0.05,0.91,0.71,0.41,1,0.93,0.98,0.92,0.98,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"312-200-3",0.91,1,0.97,0.67,1,1,1,0.31,1,-0.75,1,0.96,1,0.62,1,1,1,1,1,0.03,0.66,0.99,-0.83,0.99,1,0.9,0.99,-0.87,0.99,1,1,1,1,0.99,1,1,0,1,1,0.99,1,0.98,1,0.95,-0.49,1,0.95,-0.3,-0.67,0.97,1,-0.32,1,0.88,0.34,-0.18,1,-0.91,1,-0.43,1,1,0.98,1,-0.85,1,1,1,0.24,0.92,1,-0.82,1,1,1,1,-0.11,1,1,1,1,-0.34,1,1,1,0.99,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,0.96,0.99,1,0.99,0.62,1,1,1,1,1,0.99,0.99,1,0.01,1,1
"313-20-3",1,1,1,1,1,1,1,1,-0.98,1,-0.03,0.98,-0.47,1,-1,0.87,0.82,-0.99,-0.98,1,1,-1,1,-1,-1,0.88,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0.92,-1,0.96,1,-1,-0.71,1,1,-0.82,0.64,1,0.94,1,1,1,0.21,1,-0.1,0.99,0.85,0.32,1,0.96,0.99,0.94,0.98,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"313-90-3",1,1,1,1,1,1,1,1,-0.97,1,0.01,0.96,-0.47,1,-0.99,0.72,0.67,-0.97,-0.97,1,0.99,-1,1,-1,-1,0.63,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,0.75,-1,0.66,1,-1,-0.56,1,1,-0.8,0.78,1,0.99,0.99,1,1,0.65,1,0.21,1,0.95,0.55,1,0.97,0.99,0.96,0.97,0.91,1,1,0.99,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"314-20-3",1,1,1,1,1,1,1,1,-0.99,1,-0.07,0.95,-0.65,1,-1,0.89,0.87,-0.97,-0.95,1,1,-1,1,-1,-1,0.95,-1,0.99,-1,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,0,-1,0.92,-1,0.98,1,-1,-0.99,1,1,-0.99,0.82,1,0.62,1,1,1,-0.29,0.98,-0.3,0.77,0.64,0.26,0.99,0.92,0.91,0.95,0.95,0.99,1,1,1,0.96,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"314-60-3",1,1,1,1,1,1,1,1,-0.98,1,-0.09,0.96,-0.53,1,-0.99,0.85,0.85,-0.96,-0.94,1,1,-1,1,-1,-1,0.78,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0.66,-1,0.82,1,-1,-0.77,1,1,-0.93,0.41,1,0.85,0.99,1,1,-0.22,1,-0.3,1,0.66,0.1,1,0.94,0.98,0.93,0.94,0.94,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"314-95-3",1,1,1,1,1,1,1,1,0.94,1,0.99,0.49,0.86,0.14,0.98,0.33,0.52,1,1,0.85,-0.4,0.93,1,0.92,0.68,-0.98,0.85,0.99,0.9,0.9,0.98,0.99,0.97,0.95,0.97,0.94,0.98,0.92,0.75,0.92,0.66,0,0.9,-1,1,0.81,0.61,0.83,1,0.51,-0.73,1,0.91,0.43,0.96,0.98,0.67,1,0.89,0.98,0.75,0.86,0.91,0.99,0.93,0.99,0.76,0.53,1,0.96,0.94,1,0.8,0.33,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"315-20-3",1,1,1,1,1,1,1,1,-0.97,1,0.11,0.98,-0.36,1,-1,0.91,0.85,-0.98,-0.96,1,1,-1,1,-1,-1,0.91,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.9,0,0.95,1,-1,-0.92,1,1,-0.83,0.72,1,0.97,1,1,1,0.03,1,0.01,0.97,0.6,0.53,1,0.96,0.97,0.96,0.98,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"315-65-3",1,1,1,1,1,1,1,1,0.92,1,0.99,0.34,0.86,-0.44,0.99,0.54,0.41,0.99,1,0.46,-0.5,0.92,1,0.93,0.81,-1,0.88,0.97,0.9,0.92,0.98,0.99,0.97,0.97,0.97,0.95,0.95,0.96,0.66,0.98,0.82,-1,0.95,0,1,0.88,0.73,0.74,1,0.64,-0.6,0.99,0.97,-0.17,0.85,0.91,0.72,1,0.9,0.95,0.93,0.89,0.86,0.99,0.88,0.99,0.76,0.46,0.99,0.91,0.97,1,0.83,0.27,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"317-100-3",1,1,1,1,1,1,1,1,1,0.33,1,1,1,0.95,1,1,1,1,1,0.73,1,1,0.56,1,1,1,1,-0.21,1,1,1,1,1,1,1,1,-0.49,1,1,1,1,1,1,1,0,1,1,0.9,-1,1,1,-1,1,0.47,-1,-1,1,0.13,1,-1,1,1,1,1,-0.23,1,1,1,0.99,0.99,1,-0.45,1,1,1,1,0.81,1,1,1,1,-0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,1,1,1,1,1,0.96,1,1
"317-20-3",1,1,1,1,1,1,1,1,-1,1,-0.64,0.89,-0.72,1,-1,0.45,0.7,-0.97,-0.96,1,1,-1,1,-1,-0.95,0.86,-1,1,-1,-1,-0.98,-0.95,-0.98,-0.95,-0.93,-0.99,1,-1,-1,-1,-1,0.81,-1,0.88,1,0,-0.99,1,1,-1,-0.2,1,0.29,0.96,1,1,-0.72,1,-0.6,1,0.42,-0.13,0.99,0.25,0.93,0.43,0.63,0.89,1,1,0.93,1,0.92,0.99,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"317-40-3",1,1,1,0.99,1,1,1,1,-0.93,1,-0.18,0.77,-0.39,0.88,-0.68,0.21,0.39,-0.53,-0.48,0.99,0.96,-0.66,1,-0.85,-0.66,0.45,-0.83,0.97,-0.85,-0.78,-0.36,-0.17,-0.48,-0.7,-0.66,-0.9,0.95,-0.71,-0.56,-0.99,-0.77,0.61,-0.92,0.73,1,-0.99,0,0.64,1,-1,0.18,0.97,0.77,0.98,1,0.99,0.19,0.67,-0.03,0.38,0.53,0.51,0.98,0.5,0.67,0.55,0.8,0.88,0.98,1,0.92,0.69,0.89,0.95,0.99,1,0.98,1,1,1,1,0.52,1,1,1,0.98,0.93,0.93,0.9,1,1,1,1,1,1,1,1,1,1,1,0.82,1,1,1,1,1,1,0.97,1,0.99,1,1,1,1,1,1,0.93,1,1
"317-60-3",0.81,0.99,0.91,0.14,1,0.91,1,0.64,0.98,-0.68,1,0.32,0.86,0.15,1,0.99,0.93,1,1,0.03,0.91,1,0.61,1,1,0.83,1,0.18,1,1,1,1,1,1,1,1,-0.3,1,1,1,1,0.83,1,0.74,0.9,1,0.64,0,0.58,0.82,0.87,0.12,0.98,-0.45,-0.08,-0.06,0.96,-0.6,0.99,-0.27,0.95,1,0.62,0.99,-0.53,1,0.99,0.76,0.23,0.83,1,-0.62,0.97,0.69,0.88,1,-0.08,0.99,1,0.94,1,-0.16,1,0.98,0.9,0.83,-0.09,0.91,0.73,0.99,1,1,1,0.99,1,1,1,1,1,1,0.85,1,1,0.99,0.98,1,1,0.9,1,0.99,1,1,1,0.97,0.93,0.99,0.81,0.99,1
"318-100-3",1,1,1,1,1,1,1,0.99,1,0.67,1,1,1,0.87,1,1,1,1,1,0.51,0.96,1,0.25,1,1,0.99,1,-0.01,1,1,1,1,1,1,1,1,-0.67,1,1,1,1,1,1,1,-1,1,1,0.58,0,1,1,-1,1,0.61,-0.91,-0.99,1,-0.6,1,-0.45,1,1,0.97,1,-0.77,1,1,1,0.92,0.92,1,-0.37,1,1,1,1,0.92,1,1,1,1,0.35,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.86,1,1,1,1,1,1,1,1,0.95,1,1
"318-20-3",1,1,1,1,1,1,1,1,-0.97,1,-0.43,0.55,-0.63,0.96,-0.77,0.32,0.65,-0.57,-0.46,0.99,0.97,-0.79,1,-0.92,-0.66,0.62,-0.87,1,-0.91,-0.89,-0.55,-0.41,-0.43,-0.56,-0.43,-0.75,0.97,-0.82,-0.8,-0.99,-0.93,0.51,-0.83,0.64,1,-1,-1,0.82,1,0,-0.29,0.99,0.47,0.9,1,1,-0.46,0.96,-0.42,0.82,0.3,-0.03,0.9,0.57,0.74,0.67,0.59,0.64,0.98,1,0.96,0.9,0.91,0.96,1,1,1,0.99,1,1,1,0.82,1,1,1,0.97,0.94,0.99,0.95,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"318-40-3",1,1,1,1,1,1,1,1,0.21,1,0.17,0.33,0.13,0.54,0.82,-0.19,0.07,0.93,0.94,0.97,0.54,0.76,1,0.66,0.73,-0.49,0.62,1,0.62,0.8,0.94,0.96,0.97,0.83,0.9,0.74,1,0.64,0.78,0.82,0.41,-0.73,0.72,-0.6,1,-0.2,0.18,0.87,1,-0.29,0,1,-0.41,0.38,1,1,-0.76,1,-0.57,0.99,-0.3,-0.49,0.79,0.14,0.94,0.11,-0.04,0.26,1,0.94,0.36,1,-0.04,0.15,0.99,0.78,1,0.89,0.92,1,0.94,1,0.96,0.99,0.98,0.88,0.97,0.98,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"319-100-3",1,1,1,0.97,1,1,1,0.91,1,0.18,1,0.99,1,0.88,1,1,1,1,1,0.72,0.98,1,0.08,1,1,1,1,-0.08,1,1,1,1,1,1,1,1,-0.32,1,1,1,1,1,1,0.99,-1,1,0.97,0.12,-1,0.99,1,0,1,0.62,-0.95,-1,1,-0.94,1,-0.83,1,1,0.84,1,-0.91,1,1,1,0.7,0.8,1,-0.59,1,1,1,1,0.55,1,1,0.99,1,-0.31,1,1,1,1,0.85,0.99,0.97,1,1,1,1,1,1,1,1,1,1,1,0.86,1,1,0.98,1,1,1,0.3,1,0.99,1,1,1,0.99,0.98,0.99,0.53,0.99,1
"319-20-3",1,1,1,1,1,1,0.99,1,0.51,1,-0.35,0.46,0.43,0.99,0.91,0.82,0.93,0.97,0.97,1,1,0.97,1,0.98,0.99,1,0.97,1,0.98,0.99,1,1,1,0.99,1,0.98,1,0.94,0.99,0.62,0.85,0.91,0.97,0.97,1,0.29,0.77,0.98,1,0.47,-0.41,1,0,0.37,1,1,-1,1,-0.73,1,-0.82,-0.77,0.78,-0.92,0.99,-0.69,-0.44,0.01,0.95,0.99,0.55,1,0.32,0.82,0.95,0.35,1,0.48,0.57,0.93,0.72,0.99,0.74,0.7,0.63,0.82,0.86,0.94,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"319-40-3",1,1,1,1,1,1,0.99,1,0.97,0.98,0.95,0.61,0.9,-0.21,1,0.75,0.9,1,1,0.07,0.42,1,0.98,1,0.99,0.71,1,0.96,1,1,1,1,1,1,1,1,0.88,1,0.99,1,0.99,0.43,1,-0.17,0.47,0.96,0.98,-0.45,0.61,0.9,0.38,0.62,0.37,0,-0.72,-0.95,0.91,0.98,0.88,0.75,0.79,0.7,0.21,0.91,0.43,0.86,0.64,0.03,0.56,0.5,0.92,0.98,0.75,0.03,0.76,0.71,0.27,0.65,0.74,0.73,0.63,0.36,0.81,0.81,0.7,0.9,0.57,0.88,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"319-60-3",1,1,1,1,1,1,1,1,1,0.65,1,0.99,1,0.4,1,1,1,1,1,0.35,0.93,1,0.68,1,1,0.99,1,0.27,1,1,1,1,1,1,1,1,0.34,1,1,1,1,0.96,1,0.85,-1,1,1,-0.08,-0.91,1,1,-0.95,1,-0.72,0,-1,1,-0.24,1,-0.3,1,1,0.94,1,-0.63,1,1,1,0.91,0.83,1,0.47,1,0.98,0.99,1,0.48,1,1,0.98,1,0.2,1,1,1,0.99,0.93,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,0.93,1,1
"320-100-3",1,1,1,0.99,1,1,1,1,1,0.69,1,0.96,1,0.22,1,1,1,1,1,-0.09,0.96,1,0.72,1,1,0.99,1,0.36,1,1,1,1,1,1,1,1,-0.18,1,1,1,1,0.98,1,0.91,-1,1,0.99,-0.06,-0.99,1,1,-1,1,-0.95,-1,0,1,-0.59,1,-0.76,1,1,0.73,1,-0.78,1,1,0.98,0.68,0.6,1,-0.16,1,0.98,0.99,1,0.23,1,1,1,1,-0.12,1,1,1,0.99,0.8,0.99,0.96,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,0.93,1,1
"320-20-3",1,1,1,1,1,1,0.99,1,-0.03,1,-0.68,0.85,0.05,1,0.02,-0.02,0.63,0.39,0.53,1,1,0.21,1,0.35,0.09,0.95,0.3,1,0.34,0.57,0.68,0.77,0.88,0.6,0.74,0.47,1,0.21,0.65,-0.29,-0.22,0.67,0.03,0.72,1,-0.72,0.19,0.96,1,-0.46,-0.76,1,-1,0.91,1,1,0,1,-1,1,-1,-1,0.91,-0.89,0.96,-0.96,-0.63,0.36,0.99,1,-0.28,1,-0.23,0.9,0.98,0.26,1,0.57,0.76,0.97,0.8,0.99,0.75,0.94,0.96,0.72,0.97,0.78,0.97,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"320-200-3",0.79,1,0.75,0.26,1,0.93,1,-0.16,1,-0.4,1,0.97,0.99,0.89,1,1,1,1,1,0.72,0.99,1,-0.09,1,1,1,1,-0.41,1,1,1,1,1,1,1,1,-0.91,1,1,0.98,1,1,1,1,0.13,1,0.67,-0.6,-0.6,0.96,1,-0.94,1,0.98,-0.24,-0.59,1,0,1,-0.94,0.97,1,0.88,1,-1,1,1,1,-0.64,0.84,1,-0.98,1,1,0.97,1,-0.55,1,1,1,1,-0.78,1,1,1,0.99,0.41,0.92,0.78,1,1,1,1,1,1,1,1,1,1,1,0.42,1,1,0.97,0.87,1,1,-0.05,1,0.9,1,1,1,0.97,0.94,0.98,-0.34,0.96,1
