"","296-100-3","296-20-3","296-60-3","297-100-3","297-40-3","297-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","307-100-3","307-20-3","307-200-3","307-40-3","307-60-3","310-100-3","310-40-3","310-60-3","311-20-3","311-40-3","312-20-3","312-200-3","313-20-3","313-90-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","318-100-3","318-20-3","318-40-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","322-100-3","322-20-3","322-200-3","322-40-3","322-60-3","323-100-3","323-200-3","326-100-3","326-20-3","326-200-3","326-40-3","326-55-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3","330-100-3","330-20-3","330-200-3","330-40-3","330-60-3","178-100-3","178-20-3","178-200-3","178-40-3","178-60-3","179-100-3","179-20-3","179-60-3","193-100-3","193-20-3","193-40-3","193-60-3","241-100-3","241-20-3","241-200-3","241-40-3","241-60-3","262-20-3","262-200-3","262-40-3","262-60-3","267-100-3","267-20-3","267-200-3","267-60-3","287-100-3","287-20-3","287-200-3","287-40-3","287-60-3"
"320-40-3",1,1,1,1,1,1,0.98,1,-0.69,1,-0.83,0.48,-0.75,1,-0.24,0.23,0.43,-0.08,0.1,1,1,-0.09,1,-0.15,0.04,0.93,-0.14,1,-0.15,0.03,0.47,0.57,0.66,0.09,0.16,-0.05,1,-0.1,0.21,-0.3,-0.3,0.89,0.01,0.9,1,-0.6,-0.03,0.99,1,-0.42,-0.57,1,-0.73,0.88,1,1,-1,1,0,0.99,-0.75,-1,0.71,-0.75,0.9,-0.84,-0.47,0.17,0.99,1,0.27,1,-0.04,0.89,0.99,0.24,1,0.6,0.72,0.98,0.81,0.99,0.8,0.87,0.93,0.57,0.87,0.86,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"321-200-3",0.91,1,0.97,0.68,1,0.97,1,0.7,1,0.13,1,0.98,0.99,0.81,1,1,1,1,1,0.8,0.94,1,0.11,0.99,1,0.96,1,-0.25,1,1,1,1,1,0.99,0.99,0.91,-0.43,0.99,1,0.77,1,0.98,0.97,0.95,-1,1,0.38,-0.27,-0.45,0.82,0.99,-0.83,1,0.75,-0.3,-0.76,1,-0.94,0.99,0,0.86,1,0.53,1,-0.97,1,1,0.95,0.14,0.79,1,-0.78,1,0.92,0.82,1,0.21,0.92,0.99,0.93,1,-0.73,1,1,0.96,0.91,0.23,0.68,0.52,1,1,1,1,0.99,1,1,1,1,1,1,0.27,0.99,1,0.92,0.86,1,0.99,0.06,0.98,0.75,1,1,0.97,0.78,0.92,0.83,-0.21,0.7,0.98
"321-40-3",1,1,1,1,1,1,1,1,0.64,1,-0.04,0.69,0.22,0.99,0.83,0.64,0.89,0.94,0.97,1,1,0.57,1,0.82,0.86,0.97,0.87,1,0.84,0.91,0.88,0.9,0.97,0.95,0.97,0.71,1,0.85,0.95,0.64,0.66,0.75,0.6,0.93,1,0.42,0.53,0.95,1,0.3,-0.3,1,-0.82,0.79,1,1,-1,0.97,-0.75,0.86,0,-0.51,0.88,-0.35,0.8,-0.26,0.18,0.4,0.99,1,0.54,0.99,0.48,0.9,0.99,0.31,1,0.36,0.44,0.99,0.72,0.99,0.83,0.88,0.92,0.52,0.9,0.77,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"321-60-3",1,1,1,1,1,1,1,1,-0.28,1,-0.53,0.45,-0.44,0.99,0.32,0.5,0.69,0.49,0.63,1,1,0.4,1,0.38,0.4,0.9,0.28,1,0.36,0.5,0.78,0.84,0.91,0.59,0.55,0.41,1,0.32,0.55,0.26,0.1,0.86,0.53,0.89,1,-0.13,0.51,1,1,-0.03,-0.49,1,-0.77,0.7,1,1,-1,1,-1,1,-0.51,0,-0.04,-0.58,0.97,-0.65,-0.89,-0.65,0.91,0.98,0.61,1,0.21,0.86,0.96,0.28,1,0.63,0.73,0.98,0.8,1,0.84,0.88,0.91,0.82,0.88,0.96,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"322-100-3",1,1,1,1,1,1,1,1,1,0.96,0.99,0.67,0.97,0.74,1,0.99,0.99,1,1,0.85,0.9,1,0.99,1,0.99,0.96,1,0.9,1,1,1,1,1,1,1,1,0.98,1,1,0.99,1,0.91,1,0.86,1,0.99,0.98,0.62,0.97,0.9,0.79,0.84,0.78,0.21,0.94,0.73,0.91,0.88,0.71,0.53,0.88,-0.04,0,0.79,0.03,0.83,-0.53,-0.95,-0.85,0.11,0.96,0.92,0.85,0.26,0.06,0.75,0.07,0.61,0.87,0.57,0.95,0.08,0.93,0.97,0.83,0.94,0.39,0.8,0.77,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"322-20-3",0.96,0.93,0.97,1,0.98,0.99,0.05,1,0.34,1,-0.67,0.74,0.4,1,0.57,0.56,0.73,0.73,0.72,1,1,0.95,1,0.95,0.95,0.98,0.92,1,0.93,0.96,0.99,0.99,1,0.95,0.97,0.93,1,0.96,0.97,0.92,0.94,0.99,0.96,0.99,1,0.25,0.5,0.99,1,0.57,0.14,1,-0.92,0.91,1,1,-0.89,1,-0.75,1,-0.35,-0.58,0.79,0,0.99,-1,-0.77,0.21,0.99,1,-0.57,1,-0.5,0.81,0.91,-0.83,1,-0.62,0.05,0.78,-0.24,0.99,-0.23,0.06,0.59,-0.02,0.58,0.41,0.67,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"322-200-3",0.74,0.97,0.41,0.39,1,0.96,1,-0.29,0.99,-0.97,1,0.88,0.94,0.71,0.99,1,0.99,1,0.99,0.53,0.85,0.99,-0.53,0.97,1,0.95,0.98,-0.47,0.97,0.99,1,1,0.99,0.98,0.99,0.98,-0.85,0.99,0.99,0.91,0.98,0.93,0.97,0.88,-0.23,0.93,0.67,-0.53,-0.77,0.74,0.94,-0.91,0.99,0.43,-0.63,-0.78,0.96,-1,0.9,-0.97,0.8,0.97,0.03,0.99,0,0.99,0.98,0.59,-0.99,0.47,0.97,-0.9,0.97,0.79,0.71,0.97,-0.79,0.77,0.94,0.75,0.98,-0.91,0.97,0.97,0.8,0.8,-0.01,0.62,0.54,1,1,1,1,0.98,1,1,1,1,1,1,0.39,0.99,1,0.67,0.91,1,0.93,0.21,0.9,0.88,0.99,1,0.92,0.68,0.83,0.83,-0.16,0.84,0.94
"322-40-3",1,0.99,1,1,1,1,0.34,1,-0.02,1,-0.69,0.84,0.05,1,0.5,0.57,0.59,0.67,0.68,1,1,0.93,1,0.91,0.95,0.98,0.85,1,0.89,0.92,0.99,0.99,0.99,0.93,0.97,0.92,1,0.94,0.96,0.95,0.93,0.99,0.96,0.99,1,0.43,0.55,1,1,0.67,0.11,1,-0.69,0.86,1,1,-0.96,1,-0.84,1,-0.26,-0.65,0.83,-1,0.99,0,-0.81,0.19,1,1,-0.37,1,-0.38,0.79,0.94,-0.7,1,-0.22,0.46,0.87,0.04,1,0.19,0.14,0.75,0.02,0.69,0.64,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"322-60-3",1,1,1,1,1,1,0.99,1,0.66,1,0.11,0.55,0.54,0.92,0.91,0.46,0.63,0.94,0.94,1,0.99,0.96,1,0.98,0.93,0.79,0.95,1,0.97,0.95,1,1,1,0.98,0.99,0.98,1,0.98,0.97,0.95,0.94,0.76,0.98,0.76,1,0.63,0.8,0.99,1,0.59,-0.04,1,-0.44,0.64,1,1,-0.63,1,-0.47,1,0.18,-0.89,-0.53,-0.77,0.98,-0.81,0,-1,0.81,0.89,-0.11,1,-0.23,0.36,0.52,-0.22,1,-0.17,0.18,0.61,0.35,0.99,0.28,0.47,0.64,0.78,0.8,0.9,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"323-100-3",1,1,1,1,1,1,1,1,0.85,1,0.76,0.36,0.65,0.66,0.96,0.51,0.64,0.96,0.94,0.95,0.81,0.95,1,0.98,0.86,0.62,0.97,1,0.99,0.96,0.99,0.99,1,0.99,0.99,1,1,0.99,0.91,0.99,0.94,0.53,0.99,0.46,1,0.89,0.88,0.76,1,0.64,0.26,1,0.01,0.03,1,0.98,0.36,1,0.17,0.95,0.4,-0.65,-0.95,0.21,0.59,0.19,-1,0,-0.41,-0.01,0.4,1,-0.02,-0.4,-0.14,0.04,0.79,-0.23,0.19,0.23,0.29,0.68,0.31,0.5,0.28,0.89,0.51,0.84,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"323-200-3",1,1,1,1,1,1,1,0.97,1,0.44,1,0.84,1,0.74,1,1,1,1,1,0.86,1,1,0.86,1,1,1,1,0.63,1,1,1,1,1,1,1,1,0.24,1,1,1,1,1,1,0.99,0.99,1,0.98,0.23,0.92,0.98,1,0.7,0.95,0.56,0.91,0.68,0.99,-0.64,0.99,0.14,0.99,0.91,-0.85,0.99,-0.99,1,0.81,-0.41,0,-0.08,1,-0.31,0.98,0.74,-0.04,0.88,-0.96,0.8,0.92,0.7,0.97,-0.77,0.96,0.98,0.78,0.98,-0.07,0.8,0.43,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,0.93,1,1
"326-100-3",1,1,1,1,1,1,1,1,1,0.96,1,0.9,1,-0.1,1,0.95,0.95,1,1,0.36,0.92,1,0.95,1,1,0.99,1,0.83,1,1,1,1,1,1,1,1,0.92,1,1,1,1,0.96,1,0.91,0.99,1,1,0.83,0.92,1,0.94,0.8,0.99,0.5,0.83,0.6,1,0.84,1,0.79,1,0.98,0.11,1,0.47,1,0.89,-0.01,-0.08,0,0.82,0.46,0.52,-0.15,0.67,0.92,0.04,0.88,0.98,0.93,0.99,0.55,0.99,1,0.99,1,0.88,0.98,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"326-20-3",1,1,1,1,1,1,0.91,1,0.02,1,-0.25,0.77,0.15,0.85,0.61,-0.42,-0.68,0.35,0.1,1,0.99,1,1,0.99,0.99,0.86,0.99,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,0.94,1,0.97,1,0.93,0.92,1,1,0.96,0.36,1,0.55,0.92,1,1,-0.28,1,0.27,1,0.54,0.61,0.96,-0.57,0.97,-0.37,-0.11,0.4,1,0.82,0,1,-1,-0.47,0.93,-0.18,1,0.33,0.63,0.91,0.53,1,0.67,0.7,0.92,0.26,0.81,0.88,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"326-200-3",0.96,1,0.99,0.83,1,1,1,0.79,1,-0.53,1,0.99,1,0.92,1,1,1,1,1,0.88,0.99,1,-0.52,1,1,0.99,1,-0.39,1,1,1,1,1,1,1,1,-0.82,1,1,0.96,1,1,1,1,-0.45,1,0.69,-0.62,-0.37,0.9,1,-0.59,1,0.98,0.47,-0.16,1,-0.98,1,-0.78,0.99,1,0.92,1,-0.9,1,1,1,-0.31,0.46,1,0,1,0.99,0.86,1,-0.86,0.99,1,0.99,1,-0.86,1,1,1,0.99,0.45,0.84,0.78,1,1,1,1,1,1,1,1,1,1,1,0.35,1,1,0.96,0.89,1,1,0.29,1,0.9,1,1,1,0.91,0.99,0.95,0.19,0.92,1
"326-40-3",1,1,1,1,1,1,0.89,1,-0.02,1,-0.32,0.64,-0.05,0.67,0.49,-0.79,-0.9,0.15,0,0.99,0.95,1,1,0.99,0.97,0.7,0.99,1,0.99,0.99,1,1,1,0.99,0.99,0.99,1,1,0.97,1,0.99,0.8,1,0.83,1,0.92,0.89,0.97,1,0.91,-0.04,1,0.32,0.75,1,1,-0.23,1,-0.04,1,0.48,0.21,0.85,-0.5,0.97,-0.38,-0.23,-0.02,0.98,0.52,-1,1,0,-0.87,0.9,-0.42,1,0.08,0.43,0.85,0.33,0.97,0.42,0.58,0.81,0.33,0.7,0.77,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"326-55-3",1,1,1,1,1,1,1,1,0.87,1,0.81,0.55,0.81,-0.06,0.91,-0.66,-0.76,0.73,0.73,0.74,0.59,1,1,1,0.99,0.33,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,0.33,1,0.27,1,0.99,0.95,0.69,1,0.96,0.15,1,0.82,0.03,0.98,0.98,0.9,1,0.89,0.92,0.9,0.86,0.26,0.81,0.79,0.79,0.36,-0.4,0.74,-0.15,-0.47,0.99,-0.87,0,0.83,0.51,0.95,0.58,0.82,0.94,0.87,0.86,0.92,0.96,0.92,0.9,0.81,0.95,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"328-100-3",1,1,1,1,1,1,0.98,1,1,1,0.99,0.72,0.98,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.88,1,1,0.99,1,0.95,0.76,0.99,0.99,0.98,0.97,0.99,0.82,0.99,0.96,0.06,0.91,0.71,0.94,0.52,-0.14,-0.04,0.67,0.93,0.86,0.9,0.83,0,-0.48,0.35,-0.8,-0.59,-0.87,0.25,-0.24,0.07,-0.18,-0.44,-0.22,-0.89,-0.06,-0.63,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,0.99,1,1
"328-20-3",0.72,0.48,0.5,1,0.54,0.8,-0.78,1,0.83,1,-0.08,0.6,0.61,1,0.99,0.95,0.89,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.78,1,0.35,0.71,1,1,0.26,1,0.24,1,0.31,0.28,0.75,-0.83,0.97,-0.7,-0.22,0.04,0.88,0.92,-0.18,1,-0.42,0.51,-0.48,0,1,-0.98,-0.91,-0.61,-0.86,0.95,-0.86,-0.97,-0.88,-0.97,-0.75,-0.5,-0.81,1,0.95,1,0.96,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"328-200-3",1,1,1,0.93,1,1,1,0.95,1,0.31,1,0.88,1,0.57,1,1,1,1,1,0.58,1,1,0.84,1,1,1,1,0.6,1,1,1,1,1,1,1,1,-0.11,1,1,1,1,1,1,1,0.81,1,0.98,-0.08,0.92,1,1,0.55,1,0.27,0.48,0.23,1,-0.55,1,0.21,1,1,0.07,1,-0.79,1,1,0.79,-0.96,0.04,1,-0.86,1,0.95,0.35,1,0,0.99,1,0.78,1,-0.94,1,1,0.92,0.96,-0.44,0.85,0.68,1,1,1,1,1,1,1,1,1,1,1,0.76,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,0.76,1,1
"328-40-3",0.79,0.62,0.75,0.99,0.62,0.91,-0.16,1,0.97,1,0.49,0.77,0.82,1,1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,0.89,1,0.48,0.65,1,1,0.57,1,0.6,0.92,0.36,0.63,0.61,-0.62,0.77,-0.22,-0.17,-0.23,0.8,0.88,0.33,0.99,0.08,0.58,-0.8,-0.98,0.99,0,-1,-0.95,-0.7,0.81,-0.67,-0.99,-0.99,-0.89,-0.9,-0.58,-0.98,1,0.98,1,0.98,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"328-60-3",0.98,0.94,0.93,1,0.89,0.94,0.55,1,0.99,1,0.6,0.88,0.92,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.57,0.74,1,1,0.76,1,0.72,0.99,0.44,0.73,0.87,0.05,0.94,0.46,0.18,0.19,0.92,0.98,0.63,1,0.43,0.82,-0.59,-0.91,1,-1,0,-0.78,-0.54,0.94,-0.41,-0.85,-0.87,-0.83,-0.68,-0.12,-0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"329-100-3",0.79,0.75,0.66,0.99,0.96,0.96,0.45,1,1,1,0.97,0.85,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,0.99,0.93,0.73,0.98,1,0.97,1,0.98,0.93,0.99,0.98,0.57,0.78,0.75,0.87,0.61,0.23,0.7,0.93,0.91,0.99,0.85,0.94,-0.87,-0.61,0.78,-0.95,-0.78,0,-0.88,0.66,-0.94,-1,-1,-0.96,-1,-0.53,-0.9,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1
"329-20-3",0.32,-0.07,0.14,0.99,0.23,0.7,-1,1,0.98,1,0.48,0.84,0.94,1,1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,0.72,0.63,1,1,0.8,1,0.81,1,0.72,0.8,0.95,-0.24,0.98,0.04,0.35,0.29,0.97,0.99,0.53,1,0.33,0.87,0.25,-0.86,1,-0.7,-0.54,-0.88,0,0.96,-1,-1,-1,-1,-0.82,-0.94,-0.98,0.99,0.62,1,0.78,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"329-200-3",0.92,1,0.97,0.63,1,0.97,0.98,0.76,1,0.03,1,0.78,0.94,0.75,1,1,0.99,1,1,0.78,0.99,1,0.51,1,1,0.99,1,0.11,1,1,1,1,1,1,1,1,-0.34,1,1,0.98,1,1,1,0.98,-0.35,1,0.52,-0.16,0.35,0.82,1,-0.31,0.99,0.36,0.2,-0.12,0.99,-0.78,0.99,-0.73,0.99,1,0.08,0.99,-0.91,1,0.99,0.68,-0.77,0.55,1,-0.86,0.97,0.86,-0.24,0.95,-0.94,0.81,0.94,0.66,0.96,0,0.95,0.88,0.55,0.66,-0.66,-0.13,-0.33,1,1,1,1,0.98,1,1,1,1,1,1,-0.04,1,1,0.98,0.66,1,1,-0.82,0.99,0.9,1,1,0.99,0.92,0.97,0.97,-0.13,0.96,1
"329-40-3",0.3,0.06,0.23,0.99,0.47,0.79,-1,1,0.99,1,0.67,0.88,0.96,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.74,0.81,1,1,0.75,1,0.8,1,0.83,0.84,0.93,-0.23,0.97,0.19,0.28,0.31,0.96,0.99,0.67,1,0.42,0.92,0.07,-0.86,1,-0.67,-0.41,-0.94,-1,0.95,0,-1,-0.98,-0.99,-0.83,-0.85,-0.92,1,0.84,1,0.89,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"329-60-3",0.09,-0.18,0.09,0.99,0.55,0.78,-0.68,1,1,1,0.79,0.91,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.99,1,0.7,0.81,1,1,0.94,1,0.87,1,0.88,0.88,0.97,0.06,0.97,0.14,0.47,0.5,0.98,1,0.7,1,0.58,0.96,-0.18,-0.97,1,-0.99,-0.85,-1,-1,0.88,-1,0,-0.96,-0.99,-0.65,-0.87,-0.81,1,0.93,1,0.98,0.98,1,0.96,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1
"330-100-3",0.84,0.31,0.56,0.99,0.6,0.91,0.21,1,1,1,0.92,0.86,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.98,1,0.63,0.7,1,1,0.96,1,0.93,0.96,0.92,0.91,0.83,0.59,0.8,0.75,0.64,0.28,0.78,0.99,0.92,1,0.81,0.92,-0.44,-0.88,0.92,-0.99,-0.87,-1,-1,0.55,-0.98,-0.96,0,-1,-1,-0.98,-1,1,0.88,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"330-20-3",0.11,-0.28,-0.35,0.93,-0.04,0.21,-0.52,0.98,0.97,1,0.31,0.68,0.93,0.99,1,0.98,0.96,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.98,0.98,0.83,1,0.97,0.88,1,0.82,0.9,0.99,0.99,0.72,0.99,0.57,0.91,0.52,0.82,0.94,-0.02,0.8,0.02,0.78,0.89,0.98,1,0.26,0.99,0.33,0.9,-0.22,-0.97,0.96,-0.89,-0.83,-0.96,-1,0.66,-0.99,-0.99,-1,0,-0.87,-1,-0.98,0.96,0.27,0.94,0.6,0.7,0.99,0.93,0.9,1,1,0.99,0.93,1,1,1,0.99,1,0.97,0.99,0.97,0.99,0.98,0.99,1,0.92,0.99,0.99,0.99,0.99,0.98
