"","1_P1-100-0.22","1_P1-20-0.22","1_P1-200-0.22","1_P1-40-0.22","1_P1-60-0.22","2_P1-100-0.22","2_P1-20-0.22","2_P1-200-0.22","2_P1-40-0.22","2_P1-60-0.22","3_P1-20-0.22","3_P1-200-0.22","3_P1-40-0.22","3_P1-60-0.22","4_P1-90-0.22","4_P1-20-0.22","4_P1-100-0.22","4_P1-200-0.22","4_P1-40-0.22","4_P1-60-0.22","5_P1-20-0.22","3_P1-90-0.22","5_P1-100-0.22","5_P1-200-0.22","5_P1-40-0.22","5_P1-90-0.22","6_P1-100-0.22","6_P1-20-0.22","6_P1-200-0.22","6_P1-40-0.22","6_P1-60-0.22","7_P1-20-0.22","7_P1-40-0.22","7_P1-60-0.22","10_P1-20-0.22","10_P1-40-0.22","7_P1-105-0.22","7_P1-200-0.22","8_P1-100-0.22","8_P1-115-0.22","8_P1-20-0.22","8_P1-200-0.22","8_P1-40-0.22","8_P1-60-0.22","9_P1-100-0.22","9_P1-120-0.22","9_P1-20-0.22","9_P1-200-0.22","9_P1-40-0.22","9_P1-60-0.22","10_P1-100-0.22","10_P1-120-0.22","10_P1-200-0.22","10_P1-60-0.22","11_P1-100-0.22","11_P1-20-0.22","11_P1-200-0.22","11_P1-40-0.22","11_P1-60-0.22","11_P1-70-0.22","12_P1-100-0.22","12_P1-20-0.22","12_P1-200-0.22","12_P1-40-0.22","12_P1-60-0.22","13_P1-100-0.22","13_P1-20-0.22","13_P1-200-0.22","13_P1-40-0.22","13_P1-60-0.22","14_P1-100-0.22","14_P1-20-0.22","14_P1-200-0.22","14_P1-40-0.22","14_P1-60-0.22","12_P2-100-0.22","12_P2-20-0.22","12_P2-200-0.22","12_P2-40-0.22","12_P2-60-0.22","15_P2-100-0.22","15_P2-20-0.22","15_P2-200-0.22","15_P2-40-0.22","15_P2-60-0.22","17_P2-100-0.22","17_P2-20-0.22","17_P2-200-0.22","17_P2-40-0.22","17_P2-60-0.22","8_P2-100-0.22","8_P2-20-0.22","8_P2-200-0.22","8_P2-40-0.22","8_P2-60-0.22"
"1_P1-100-0.22",0,1,0.86,0.95,-1,-0.99,0.99,0.22,0.99,0.32,0.93,1,-0.02,1,0.93,0.9,0.75,0.97,1,0.92,1,0.46,0.85,1,1,0.87,0.89,0.87,1,0.65,0.58,0.91,-0.3,0.38,0.75,1,0.2,0.92,0.28,0.54,0.71,1,-0.38,0.66,0.24,0.18,1,0.98,0.97,0.87,0.72,-0.86,0.8,1,-0.97,-0.88,0.96,0.47,-0.34,0.02,0.98,1,0.39,1,1,1,1,1,1,1,1,1,1,1,1,0.89,0.84,1,0.85,1,1,1,1,1,1,1,1,1,1,1,-0.88,1,1,0.95,-0.17
"1_P1-20-0.22",1,0,1,-1,-0.96,0.99,-0.81,1,-1,-0.09,-0.48,1,-1,0.15,1,-0.18,1,1,0.98,0.99,0.62,1,1,1,0.99,-0.58,1,-0.03,1,0.57,0.94,-0.33,-1,-0.97,-0.96,-0.4,0.95,0.41,-0.98,0.84,-0.99,1,-1,-1,0.03,-0.98,-0.59,1,-0.98,-0.63,0.79,1,1,-0.96,1,-0.17,1,0.98,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,0.25
"1_P1-200-0.22",0.86,1,0,1,1,0.36,1,-1,1,1,1,0.94,1,1,1,1,1,0.29,1,1,1,1,1,0.92,1,1,0.97,1,0.99,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.79,1,1,1,1,0.7,1,0.43,1,0.7,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,0.88,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1
"1_P1-40-0.22",0.95,-1,1,0,-0.97,0.96,-0.93,1,-0.99,-0.61,-0.71,1,-0.99,-0.3,1,0.24,1,1,0.97,1,0.58,1,1,1,0.84,-0.43,1,-0.12,1,0.54,0.94,-0.61,-1,-0.95,-0.99,-0.97,0.94,0.37,-0.99,0.33,-0.99,1,-1,-1,0.11,-0.98,-0.95,1,-0.98,-0.86,0.95,1,1,-0.96,1,-0.03,1,0.99,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.64
"1_P1-60-0.22",-1,-0.96,1,-0.97,0,-0.32,-0.65,1,-0.63,-0.7,-0.45,1,-0.92,-0.08,0.97,0.44,0.96,1,0.78,0.84,-0.17,0.61,0.78,1,0.18,0.27,1,0.34,1,0.19,0.64,-0.67,-0.92,-0.73,-0.87,-0.88,0.05,-0.54,-0.9,-0.41,-0.73,1,-0.92,-0.82,-0.48,-0.81,0.04,1,-0.65,-0.7,-0.9,0.3,0.97,-0.56,0.96,-0.92,1,-0.38,-0.08,0.82,0.99,0.97,0.96,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.13,1,-0.13,0.69,1,1,1,1,1,1,1,1,1,1,0.3,-0.11,1,-0.4,-0.66
"2_P1-100-0.22",-0.99,0.99,0.36,0.96,-0.32,0,0.79,0.57,0.83,0.09,0.82,0.94,0.16,0.27,0.04,0.66,-0.37,0.61,0.75,0.15,0.7,-0.82,0.13,0.98,0.91,0.61,0.25,0.43,0.99,0.06,-0.17,0.77,0.54,0.56,0.45,0.03,-0.86,0.58,-0.16,-0.7,0.77,0.81,0.34,0.61,-0.89,-0.13,0.93,0.73,0.52,0.52,-0.81,-0.99,0.17,0.78,-0.37,0.33,0.88,0.66,0.2,-0.71,0.76,0.98,0.74,1,1,1,1,1,1,1,1,1,1,1,1,0.89,0.99,0.99,0.95,0.97,1,1,1,1,1,1,1,1,1,1,-0.78,0.99,0.94,0.99,0.81
"2_P1-20-0.22",0.99,-0.81,1,-0.93,-0.65,0.79,0,1,-1,-0.98,-1,1,-1,-0.98,1,-0.77,1,0.99,0.37,0.85,-0.61,0.98,0.95,1,-0.68,-0.7,1,-0.53,1,-0.32,0.54,-1,-1,-1,-1,-1,0.75,-0.12,-1,-0.53,-1,1,-1,-1,-0.59,-1,-1,1,-1,-0.99,0.77,0.99,1,-1,1,0.76,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.94
"2_P1-200-0.22",0.22,1,-1,1,1,0.57,1,0,1,1,1,0.01,1,1,1,1,0.99,-0.87,1,1,1,0.94,0.99,0.27,1,1,-0.48,1,0.59,1,0.99,1,1,1,1,1,0.72,0.92,0.99,0.99,1,0.62,0.99,1,1,1,1,-0.48,1,1,1,0.99,0.06,1,0.32,0.99,-0.52,1,0.97,0.96,0.89,1,0.32,1,1,1,1,1,1,1,1,1,1,1,1,0.36,1,0.73,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,-0.06,1,0.99
"2_P1-40-0.22",0.99,-1,1,-0.99,-0.63,0.83,-1,1,0,-0.75,-0.96,1,-1,-0.98,1,-0.67,1,0.99,0.3,0.75,-0.42,0.96,0.93,1,-0.23,-0.75,1,-0.67,1,-0.48,0.38,-0.9,-1,-1,-1,-1,0.69,-0.21,-1,-0.06,-1,1,-1,-1,-0.65,-1,-1,1,-1,-0.96,0.5,0.99,1,-1,1,0.78,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.92
"2_P1-60-0.22",0.32,-0.09,1,-0.61,-0.7,0.09,-0.98,1,-0.75,0,-0.72,1,-0.99,-0.91,1,0.7,1,1,0.94,0.98,0.47,0.97,1,1,0.36,-0.01,1,0.49,1,0.7,0.95,-0.76,-1,-0.89,-0.97,-0.91,0.76,0.58,-0.94,-0.37,-0.93,1,-1,-0.98,-0.18,-0.96,-0.74,1,-0.79,-0.89,0.92,0.97,1,-0.66,1,0.85,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3_P1-20-0.22",0.93,-0.48,1,-0.71,-0.45,0.82,-1,1,-0.96,-0.72,0,1,-1,-1,0.97,-0.81,1,0.78,-0.63,0.55,-0.99,0.72,0.75,0.96,-0.99,-0.92,0.95,-0.57,0.98,-0.2,0.35,-1,-1,-1,-1,-1,0.7,-0.67,-1,-0.54,-1,1,-1,-0.99,-0.46,-0.87,-1,1,-1,-1,0.93,0.97,1,-0.99,1,0.82,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.98,0.98
"3_P1-200-0.22",1,1,0.94,1,1,0.94,1,0.01,1,1,1,0,1,1,1,1,1,-1,1,1,1,0.99,1,-0.28,1,0.99,0.81,1,0.21,1,1,1,1,1,1,1,0.9,0.72,1,1,1,0.68,1,1,1,1,1,-0.44,1,1,1,1,0.13,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1
"3_P1-40-0.22",-0.02,-1,1,-0.99,-0.92,0.16,-1,1,-1,-0.99,-1,1,0,-1,0.76,-0.81,0.94,0.77,-0.47,0.03,-0.95,0.41,0.11,1,-0.83,-0.91,0.91,-0.7,1,-0.74,-0.27,-1,-1,-1,-1,-1,-0.37,-0.97,-1,-0.52,-1,1,-1,-1,-1,-1,-1,0.98,-1,-1,-0.65,0.38,0.95,-1,1,0.21,1,0.93,0.85,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,0.83,0.45
"3_P1-60-0.22",1,0.15,1,-0.3,-0.08,0.27,-0.98,1,-0.98,-0.91,-1,1,-1,0,0.98,0.3,1,0.99,0.96,0.63,0.25,0.06,0.78,1,0.27,-0.93,0.99,0.2,1,0.11,0.36,-0.99,-1,-1,-1,-1,-0.12,0.29,-1,-0.61,-1,1,-1,-1,-0.88,-1,-1,1,-1,-1,0.83,0.91,0.97,-0.99,1,0.95,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4_P1-90-0.22",0.93,1,1,1,0.97,0.04,1,1,1,1,0.97,1,0.76,0.98,0,0.47,-1,0.84,0.9,-0.86,0.78,-0.94,-1,0.99,0.95,-0.1,0.61,-0.34,1,-0.9,-0.98,0.89,0.68,0.87,0.94,0.99,-0.86,0.97,0.44,0.53,0.98,1,0.59,0.93,0.94,0.99,1,0.99,0.98,1,0.98,0.41,0.99,1,1,0.99,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1
"4_P1-20-0.22",0.9,-0.18,1,0.24,0.44,0.66,-0.77,1,-0.67,0.7,-0.81,1,-0.81,0.3,0.47,0,0.94,0.71,-1,-0.93,-1,0.78,0.05,0.99,-1,-0.99,0.96,-1,0.99,-0.97,-0.7,-0.87,-0.88,-0.89,-0.93,-0.72,0.03,0.11,-0.9,-0.27,-0.92,1,-0.93,-0.77,0.54,-0.16,-0.72,0.98,-0.87,-0.29,0.98,0.95,0.97,-0.33,0.99,0.21,1,0.78,0.72,1,0.99,0.86,0.98,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,0.93,1,0.95,1,1,0.97,1,0.99,1,1,1,1,0.99,1,0.99,0.28,1,0.38,0.53
"4_P1-100-0.22",0.75,1,1,1,0.96,-0.37,1,0.99,1,1,1,1,0.94,1,-1,0.94,0,0.54,1,-0.24,1,-0.98,-0.96,1,1,0.82,0.18,0.57,1,-0.28,-0.87,1,0.87,0.98,0.99,1,-0.83,0.98,0.74,0.8,1,1,0.88,0.98,0.88,0.98,1,0.95,1,1,0.95,-0.01,0.9,1,1,0.99,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1
"4_P1-200-0.22",0.97,1,0.29,1,1,0.61,0.99,-0.87,0.99,1,0.78,-1,0.77,0.99,0.84,0.71,0.54,0,0.88,0.86,0.39,0.25,0.46,-0.97,0.57,0.49,-0.8,0.78,-0.83,0.55,0.71,0.5,0.56,0.76,0.66,0.96,0.43,-0.59,0.51,0.74,0.68,-0.53,0.56,0.47,0.91,0.85,0.97,-0.88,0.85,0.74,0.98,0.85,-0.65,0.93,0.8,0.78,-0.35,0.94,0.82,0.99,0.94,0.98,0.85,0.98,0.98,0.91,1,0.94,1,1,0.78,0.94,0.52,0.94,0.95,0.55,0.97,0.26,0.99,1,0.91,1,0.93,0.99,0.98,0.98,0.93,0.51,0.9,0.97,0.97,0.94,0.04,0.98,0.87
"4_P1-40-0.22",1,0.98,1,0.97,0.78,0.75,0.37,1,0.3,0.94,-0.63,1,-0.47,0.96,0.9,-1,1,0.88,0,-0.54,-1,0.92,0.53,1,-0.92,-1,0.98,-1,1,-0.98,-0.48,-0.62,-0.55,-0.76,-0.58,0.52,0.31,0.7,-0.82,-0.08,-0.56,1,-0.75,0.17,0.85,0.4,0.34,0.99,-0.18,0.5,1,1,0.99,0.67,1,0.71,1,0.99,0.93,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.92,0.93
"4_P1-60-0.22",0.92,0.99,1,1,0.84,0.15,0.85,1,0.75,0.98,0.55,1,0.03,0.63,-0.86,-0.93,-0.24,0.86,-0.54,0,-0.23,-0.58,-0.96,1,-0.37,-0.99,0.83,-1,1,-1,-1,0.39,-0.18,-0.08,0.38,0.82,-0.81,0.7,-0.5,-0.11,0.45,1,-0.35,0.41,0.73,0.72,0.66,0.96,0.59,0.8,0.99,0.6,0.93,0.89,1,0.93,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,1,0.98
"5_P1-20-0.22",1,0.62,1,0.58,-0.17,0.7,-0.61,1,-0.42,0.47,-0.99,1,-0.95,0.25,0.78,-1,1,0.39,-1,-0.23,0,0.63,0.34,0.83,-1,-1,0.75,-0.98,0.88,-0.92,-0.52,-0.99,-0.99,-0.99,-0.98,-0.96,0.09,-0.49,-1,-0.67,-0.97,1,-1,-0.77,0.14,-0.55,-0.98,0.79,-0.9,-0.61,0.99,0.87,0.95,-0.43,1,0.61,1,0.98,0.81,1,1,1,0.99,1,1,0.99,1,1,1,1,0.99,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,0.94,1,1,1,0.89,1,0.86,0.9
"3_P1-90-0.22",0.46,1,1,1,0.61,-0.82,0.98,0.94,0.96,0.97,0.72,0.99,0.41,0.06,-0.94,0.78,-0.98,0.25,0.92,-0.58,0.63,0,-0.79,0.92,0.91,0.24,-0.56,0.49,0.97,-0.32,-0.72,0.58,0.42,0.47,0.67,0.79,-0.9,0.62,0.02,-0.28,0.64,0.98,0.29,0.49,-0.2,0.4,0.96,0.85,0.74,0.68,0.78,-0.47,0.58,0.94,0.96,0.79,1,0.98,0.7,0.93,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.77,1,1,1,0.98
"5_P1-100-0.22",0.85,1,1,1,0.78,0.13,0.95,0.99,0.93,1,0.75,1,0.11,0.78,-1,0.05,-0.96,0.46,0.53,-0.96,0.34,-0.79,0,0.98,0.76,-0.33,0.19,-0.48,1,-0.91,-1,0.38,0.08,0.2,0.42,0.89,-0.85,0.55,-0.12,-0.02,0.54,0.97,0.03,0.25,-0.15,0.36,0.94,0.91,0.64,0.72,0.83,0.07,0.86,0.91,1,0.78,1,0.98,0.7,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,0.74,0.97,1,0.95,0.91
"5_P1-200-0.22",1,1,0.92,1,1,0.98,1,0.27,1,1,0.96,-0.28,1,1,0.99,0.99,1,-0.97,1,1,0.83,0.92,0.98,0,0.77,0.88,0.26,0.99,-0.99,0.96,0.97,0.67,0.95,0.99,1,1,0.88,0.15,0.93,1,0.98,-0.06,0.94,0.93,1,1,0.88,-0.32,1,1,1,1,-0.05,1,0.99,0.99,0.53,1,0.95,1,0.61,1,0.98,0.98,1,0.83,1,0.98,1,1,-0.37,1,0.72,0.99,1,0.91,1,0.79,1,1,0.86,1,0.85,1,1,0.85,0.98,0.46,0.99,1,1,1,0.04,1,0.99
"5_P1-40-0.22",1,0.99,1,0.84,0.18,0.91,-0.68,1,-0.23,0.36,-0.99,1,-0.83,0.27,0.95,-1,1,0.57,-0.92,-0.37,-1,0.91,0.76,0.77,0,-1,0.93,-1,0.81,-0.93,-0.13,-1,-0.99,-0.99,-0.85,-0.42,0.53,-0.09,-1,-0.75,-0.9,1,-1,-0.53,0.29,-0.31,-0.66,0.9,-0.7,-0.71,1,0.99,0.94,-0.03,1,0.9,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99
"5_P1-90-0.22",0.87,-0.58,1,-0.43,0.27,0.61,-0.7,1,-0.75,-0.01,-0.92,0.99,-0.91,-0.93,-0.1,-0.99,0.82,0.49,-1,-0.99,-1,0.24,-0.33,0.88,-1,0,0.57,-0.99,0.9,-0.95,-0.8,-1,-0.92,-0.98,-0.97,-0.89,-0.46,-0.58,-0.99,-1,-0.98,0.67,-0.93,-1,-0.63,-0.56,-0.99,0.8,-0.96,-1,0.41,0.68,0.87,-0.91,0.93,0.15,0.99,0.62,0.37,0.94,0.98,0.95,0.98,0.96,0.99,0.99,1,1,1,1,0.74,1,0.98,1,1,1,0.9,1,0.98,1,0.98,1,1,0.99,0.99,0.96,0.79,0.93,0.92,0.95,1,0.49,1,0.6,0.84
"6_P1-100-0.22",0.89,1,0.97,1,1,0.25,1,-0.48,1,1,0.95,0.81,0.91,0.99,0.61,0.96,0.18,-0.8,0.98,0.83,0.75,-0.56,0.19,0.26,0.93,0.57,0,0.8,0.52,0.51,0.3,0.9,0.94,0.96,0.94,0.97,-0.23,0.51,0.64,0.73,0.92,0.4,0.8,0.75,0.81,0.94,0.99,-0.2,0.93,0.93,1,0.66,-0.02,0.99,0.74,0.85,0.67,0.93,0.54,0.92,0.72,1,0.46,1,1,0.97,1,1,1,1,0.93,1,0.96,1,1,0.61,0.99,0.97,1,1,0.96,1,0.98,1,1,0.99,0.99,0.89,0.99,1,0.97,0.99,0.88,1,0.97
"6_P1-20-0.22",0.87,-0.03,1,-0.12,0.34,0.43,-0.53,1,-0.67,0.49,-0.57,1,-0.7,0.2,-0.34,-1,0.57,0.78,-1,-1,-0.98,0.49,-0.48,0.99,-1,-0.99,0.8,0,0.98,-1,-0.98,-0.91,-0.86,-0.92,-0.74,-0.44,-0.42,0.05,-0.86,-0.67,-0.75,1,-0.76,-0.69,0.4,-0.24,-0.42,0.99,-0.69,-0.39,0.86,0.93,0.99,-0.19,0.98,0.43,1,0.74,0.55,0.95,1,0.92,0.99,0.98,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,0.92,1,0.91,1,1,0.99,1,0.99,0.99,1,1,0.99,1,1,0.96,0.84,1,0.76,0.7
