Cluster,OTU_ID,n,Colour,Degree
1,00713acdc5483c168999109394c7cff7,49,#FAFD7CFF,15
2,009d805acce40d8ce328cf5a91166985,129,#9632B8FF,1
2,0369ed25113dc257ea5bed8edc5bfd9d,129,#9632B8FF,28
3,068e8ccdff42b70e8c1a9888e9bb4ec8,2,#D43F3AFF,1
4,095fc9119cf3281ceeaa14bea826fc57,116,#357EBDFF,11
5,096cd2237adc50449f8ebb65ca0ffe19,167,#EEA236FF,28
6,0af462855793e68049baacdcadc4e1b1,175,#339900FF,64
5,0b06ef7f2b187bcf18d057241c1c1abe,167,#EEA236FF,19
6,0b1bfe440f3f65f8fb4fc67df90ae491,175,#339900FF,42
6,0bd2e49490c2c51a5094fef0a3ac86e7,175,#339900FF,32
2,0cc35acf7a544c913594d4cd1f3b02ec,129,#9632B8FF,1
3,0d7e7aa696e485b5e7fcef465dda8a6f,2,#D43F3AFF,1
6,0e80a784681f2dfe7b4eb664685e24bc,175,#339900FF,68
2,0e83728f7ad4609c0503c725c0ca4881,129,#9632B8FF,13
5,0e98bee086019db35e0976a5ef4f92e3,167,#EEA236FF,1
1,0ec617ef9d40af370270cb1f346942b6,49,#FAFD7CFF,1
6,0f2551eb7c43e82c8bd59d9e51a5aadf,175,#339900FF,24
5,0f68bf0d2db1ff942fd51c0843f629e4,167,#EEA236FF,22
7,0f90b77a10e5cae78cfc235d73e3baf4,48,#E762D7FF,2
8,10937812a8cd1af330124b28d002884c,16,#7e7b52,4
5,11b428edc1f71c3a20457f6708550dc8,167,#EEA236FF,11
3,11e53777cea1868be5fa000b92926f6b,3,#D43F3AFF,4
2,12342bc5a8b458024ce32abaebef3521,129,#9632B8FF,26
4,12410564eef73c3c877af2b6ea638ba2,116,#357EBDFF,14
6,1285267786486441d8e8c601f4e07b04,175,#339900FF,4
6,13464f6e80ba89bdf797b9a6508515de,175,#339900FF,17
2,13eea987393ec9079bd9805404f0d4b3,129,#9632B8FF,32
9,13fa1fc87c478ce010d6e6d9fc41681a,12,#FDAF91FF,2
2,140180901dc7e8807e3801a7f0727307,129,#9632B8FF,11
2,1401cfd6a11ecc38fc403120fd9baf85,129,#9632B8FF,35
2,155887d600fc88a24f01cd62da008cb3,129,#9632B8FF,5
4,165d53a3627c5b13dc0e4d43a9585b35,116,#357EBDFF,17
7,18715f11d0134543b6ebc1f1da700b24,48,#E762D7FF,15
6,1914aa84fc7f965e509b4302ae002c3e,175,#339900FF,20
5,1948c923ff6f3d20c3bdea3ca6c4688e,167,#EEA236FF,29
6,196e0b89de042f59673604b7f94cbf16,175,#339900FF,5
5,19941f205d2624df3b2c2ba664231414,167,#EEA236FF,3
6,19be82437bfa547714979a8520de6074,175,#339900FF,9
6,1a17ad23f1338cea01a867faf5b25e4e,175,#339900FF,38
2,1ac4b71c8262bddc28ceba53696c5819,129,#9632B8FF,9
10,1bf86fa9f8390cda767993a8b0e1caa2,77,darkgrey,13
6,1c2db6bdf83c503d1c7a4f2ff92c2e5c,175,#339900FF,15
6,1c6ab43197584732bcccd6b91506d529,175,#339900FF,2
2,1cf354e9fa6ab14d2e27b9aea534f5ba,129,#9632B8FF,2
10,1e614f8afc3f5658f8a367c418dde0f9,77,darkgrey,35
6,1ef72a7827ffc8ca8d5c73eaeffce578,175,#339900FF,15
10,1f344f9b751898ccc2e28e0593d6f2e9,77,darkgrey,51
4,1f93492c6c359b73151f08666c4e4e86,116,#357EBDFF,22
4,2068098ed7b9d97b644e14e220b74382,116,#357EBDFF,20
10,207b6f8fbf03f38c263c6f082be86b1d,77,darkgrey,4
10,20a0d2f150b3312772f5c00e54fd7baf,77,darkgrey,17
5,21139074b970fa51321ca4bdf151bed3,167,#EEA236FF,32
5,21dab4ccd2c7ae6bafd2b1ad5f9ddd36,167,#EEA236FF,23
4,21ddfc89c4ff2cf41bd991c7a8f4831f,116,#357EBDFF,25
6,221d14b7cea8f20d54c1edeb2515fb02,175,#339900FF,2
10,2319c2234a244e106f54e8ae0bcad29e,77,darkgrey,32
6,234e32785256a6771ae89b58316938a1,175,#339900FF,33
1,2554e86a2dc3877a926a3ab0f15ca669,49,#FAFD7CFF,9
6,2569fc58a228d0f281874635cc9955e1,175,#339900FF,26
2,25b1587f9d2ce6a2f046e92cd496599d,129,#9632B8FF,33
7,25d091a165ce791a2a7b9b7e29e7e78f,48,#E762D7FF,19
4,27519dfda8b463271f576f8bc5200f63,116,#357EBDFF,19
8,2799df262ef0beded17a046506cc8158,16,#7e7b52,1
8,27ca2b8f287c3a7e4d864cc870cf67b7,16,#7e7b52,9
5,27edcf20818a2e22b02dda0168e8a82b,167,#EEA236FF,4
5,2803e4740e6b4d1e050cdfb482aacb8d,167,#EEA236FF,1
5,2859d0c4e0f71bcc5074a5cf465bb43f,167,#EEA236FF,27
2,29808558f20a5459a28bf60ddf886cd5,129,#9632B8FF,29
6,2983438e2b03eb1c22c5b4d99292e6cb,175,#339900FF,43
6,29e147348364f25451b2729361ae568f,175,#339900FF,11
6,2a28739b3218cdd4c006bd5c39ceb124,175,#339900FF,23
3,2a816e7529f05239b67efd7efc95981b,2,#D43F3AFF,1
6,2a8e413806955fee51ae29e4bab2178b,175,#339900FF,16
4,2aa34cd477e9ef796f303c1cd51530be,116,#357EBDFF,10
4,2b426003f80a504011fefd302d6311d4,116,#357EBDFF,4
6,2d5a2b14baa0f792837df2826812487b,175,#339900FF,36
6,2dbeb9e3b59e5bfd1c008959d535fd97,175,#339900FF,31
10,2dda0cf7fe5fd5572f238ac760be6590,77,darkgrey,38
5,2de4c4d21f34ef30deccd7956154f589,167,#EEA236FF,16
5,2e36396f2a2cf0a66df12340031af4e9,167,#EEA236FF,20
3,2eaca7bbe24298729fdade842d8d0622,4,#D43F3AFF,4
2,2f22f16d009993c5ce29f782317bcc8c,129,#9632B8FF,3
2,2f6237ba18914a328d59ddd8f4359315,129,#9632B8FF,28
5,2ff0a172c72d96fac751f72b803c6ee7,167,#EEA236FF,43
6,315cb56724619f962cb6258b10d758b3,175,#339900FF,29
5,3168c7ef0ddf6d37854ab7b23a99917f,167,#EEA236FF,18
6,31c730d916cab2592f86c8c4500f721d,175,#339900FF,3
6,31f18280654c3b734dc52067fad44df7,175,#339900FF,26
2,31f1c6b0fc2ac518e94e7cadfe7f28a1,129,#9632B8FF,65
7,32162e789a80e101f7950eadf634dbff,48,#E762D7FF,5
1,327abcd5132ce724a122f9155faa8c8d,49,#FAFD7CFF,13
2,32a1de2e50f861d3faa0a10359894288,129,#9632B8FF,52
6,32b9b048f2290e4d36aed52441a0e026,175,#339900FF,6
5,32c08246a55526f95537f2be771e5adb,167,#EEA236FF,2
6,32e77ba5950596c9a5471f91b13f9381,175,#339900FF,9
5,32fca445b760a61f0140ac465546c643,167,#EEA236FF,6
5,3388b0bace3f8f6031beab177595694d,167,#EEA236FF,1
4,33e4ce0575c7bbfc7623cf2fe3813837,116,#357EBDFF,3
2,33fc6b48715b25ec074e9133cecb4732,129,#9632B8FF,6
4,34f5490e6240a3ae6d72cd5e58c374bc,116,#357EBDFF,1
10,35364f7f167af3e91f88630f05f4303a,77,darkgrey,4
5,35852994aa8ca96d437fd16a7bb05fc3,167,#EEA236FF,7
5,361cf0a87f45786b79081b4eb63a7c6c,167,#EEA236FF,1
7,36ba61a2d7ec768a2d535d7b43c987b1,48,#E762D7FF,7
5,392f23bedb0596d56f855f8637b5f871,167,#EEA236FF,6
7,39451f3bca34f286f3180a138499c492,48,#E762D7FF,2
5,39b5438dd50050fe6484da6719bb7468,167,#EEA236FF,8
4,39f9479aaf160ee2fd7c82e24a28f54a,116,#357EBDFF,2
5,3a15db1c9e3ab24a60e364854be4c8c8,167,#EEA236FF,5
6,3abe56ec715b04d1bb83b046affab9bc,175,#339900FF,4
10,3b9848bcf6e8ea84a7d5ba080be7fefe,77,darkgrey,30
7,3cc16fb5b5c0dcd00987d1366dcc7dcd,48,#E762D7FF,13
2,3d0d96ced1f2cb596c86e245d598baa2,129,#9632B8FF,13
10,3d1bcf41baec18a6feb2ddb21c3c8b98,77,darkgrey,17
4,3dcedf982380729bee4720f49fa1b061,116,#357EBDFF,6
6,3e72b8de860ab796bf7f5dde632be5c9,175,#339900FF,3
4,3e8b85f36906934ea148cd581e2dfca4,116,#357EBDFF,19
6,3eb760e60f9536beecf2260e8065c645,175,#339900FF,6
10,3ebca60786781ddd1b31091f84a86f7d,77,darkgrey,3
5,3f306c3e1c4fcafdebbf916a780bb91e,167,#EEA236FF,13
4,3f75af9bba716b458ed2573d8ed7f5cc,116,#357EBDFF,10
6,3f906c956bfe2947b7244484f733ac7b,175,#339900FF,24
2,3faadceacbe927800e22582fd1d5aac4,129,#9632B8FF,1
5,3fcf054ab7fd6a0c1dee2a1ee796c327,167,#EEA236FF,3
9,40857e3dde164350b9027b7613d1b896,12,#FDAF91FF,1
6,40a53e00613200364f2ba1cfbdae9dba,175,#339900FF,9
7,4165795d94788940d1358211628f9703,48,#E762D7FF,7
1,41f01f3e3cbf6beb908ae1ebb553208e,49,#FAFD7CFF,15
6,42185dbfd5d1d856290d248b0f81f1cf,175,#339900FF,18
4,424683e7ae7754d59d6398b5e301faaf,116,#357EBDFF,2
6,436e8114fce3c50753c6d15d9c57aa20,175,#339900FF,18
2,43b357636f24d8d3ab42e0b4f83a6ea6,129,#9632B8FF,11
5,43edffe8f739b68db42ab702962216db,167,#EEA236FF,2
4,440d6f6b970d2c3ba3764618b969f612,116,#357EBDFF,19
2,44396e4fdf8d35bf123d4a5340b3714e,129,#9632B8FF,45
2,445b6909c9982cd67cbd85ef45ea0065,129,#9632B8FF,17
2,44e9efaebe760c0be710f881f6e66661,129,#9632B8FF,14
5,45ec378d0ab050411282e26d38e6a3a6,167,#EEA236FF,13
2,4619fcd8310e7a45edb201c8e18e8b7c,129,#9632B8FF,5
6,46365653fddb0b6c2993c64d68e37435,175,#339900FF,19
2,46a18c97329e9afefa70b7dd6e8d3930,129,#9632B8FF,32
6,4759505670696cb45a89cd1e66fd27a6,175,#339900FF,11
4,47de4ce9d1d0c8980e9d57e3090334cb,116,#357EBDFF,2
10,4872bb7ff88edde8aaf3ca8f4bb51ae1,77,darkgrey,31
4,48c45e81402b779e627315a9d74a5d6f,116,#357EBDFF,3
6,48cc04c0a82d9879bc70a64f8e1f81d9,175,#339900FF,1
5,48ffcb295861dbb73c356cd26f041a07,167,#EEA236FF,9
5,4a06b1cfaa2fd0c388172d9c57329053,167,#EEA236FF,11
5,4a4ba4f8a476854fafbeb0632400a73f,167,#EEA236FF,5
6,4a6c2470d8e740a73a183c0038c28dae,175,#339900FF,30
1,4af5434d8c3c86c1e85d2455dd13d6e1,49,#FAFD7CFF,15
2,4b0be352a821931e642b7c4a20507fed,129,#9632B8FF,33
4,4b6e307a35228e15a1677630d67fd835,116,#357EBDFF,2
7,4bf0922f1b71f1fbfe243272e71eab0e,48,#E762D7FF,31
6,4c4e8ae3e6a400446b6bc086c49a9334,175,#339900FF,1
2,4cab0df7abb88b31989680d38a6e8df1,129,#9632B8FF,4
6,4cdbaf972408ea3dcf55c640fc4e2240,175,#339900FF,19
5,4ce24d53cfdd905b4cf81c477123b041,167,#EEA236FF,11
10,4e446a437f4b70fae13651fd0593ca2e,77,darkgrey,12
5,4eb60c0a5861109f5366788815a00f2f,167,#EEA236FF,10
2,4ed2f9733c0972cff1540d443ed02187,129,#9632B8FF,3
2,4f2f30b530ae3f2b2f7e7b78d7b86a88,129,#9632B8FF,63
2,4f8257e5a38397d186bc493c97412d42,129,#9632B8FF,52
2,4fd8d7e3b7063c989d0ca49d2c9144bc,129,#9632B8FF,19
4,51617017322e10ee8b86116e2483fb49,116,#357EBDFF,26
6,517e57821fff49cbf0fe3fde07416754,175,#339900FF,39
6,51ac3491288a39cc4e77a8802515f5d6,175,#339900FF,14
6,51b7bdf95f084982e0f034b5542986bd,175,#339900FF,16
4,51c2a7b6bf2d9cc9f88fe749dcff7543,116,#357EBDFF,9
10,527c00e00c2e0a3bd17dd426b323b95f,77,darkgrey,1
10,52941d0608e7deac737a1153fc1a5698,77,darkgrey,25
6,52d97df581b6fda1aa8bba96d437ff36,175,#339900FF,39
7,531abeb510e182dfee85e6579c0ab60b,48,#E762D7FF,13
8,53b2724c4882a50b4bdf9715c4f4af65,16,#7e7b52,2
2,53b5e72c1f75d323de76ae2bfdb00f14,129,#9632B8FF,11
4,54bbf2f2e3e59adce996cec3482d68e8,116,#357EBDFF,11
2,54ed1411648fa7f732ddab54ad6f8b39,129,#9632B8FF,12
10,55a63a1a34d11a0c44a55bf9a7e9beda,77,darkgrey,2
6,5623a932ace577bbcad9b0f70414ad2a,175,#339900FF,55
6,57b3beebda7862a64be26dc80e2863c2,175,#339900FF,12
5,57e7e4626bc54b9d79bff8787db99332,167,#EEA236FF,10
4,582278f9172d2bea9566585efc0efaac,116,#357EBDFF,17
6,588253f8c914de60cbb9577946854a39,175,#339900FF,55
2,5891c15315042c01b034fe98a5ed3f16,129,#9632B8FF,39
1,59c46f3998718cbfba2f809f1322ec93,49,#FAFD7CFF,15
1,5a038bf076f4eccf24e57b1b8579f566,49,#FAFD7CFF,16
5,5a3d526951b3ae886ae67bc6dd2fa71c,167,#EEA236FF,5
1,5a9d00cee98596c1c9abaed5b0df2600,49,#FAFD7CFF,9
4,5b2a8155d37d63b6ca747afa659bda38,116,#357EBDFF,3
10,5b368ac79a55817d531c36e645757709,77,darkgrey,13
2,5b4613f1e15307ee30e96e020adfbaf5,129,#9632B8FF,55
6,5b90f5ad96fee60584ae482aa005d594,175,#339900FF,49
2,5cb1250cec910e6819b838249878d53a,129,#9632B8FF,32
3,5cd2d17b001d141a0dab83c22f2cc7df,2,#D43F3AFF,1
2,5cf311d6cacfe9f554a0d5c199140d71,129,#9632B8FF,46
4,5d42171dacdf7ccad34d01bc99cbbf9d,116,#357EBDFF,16
9,5d470ea78b989aafe340256bae723040,12,#FDAF91FF,5
2,5e122399cb29970cea2eacd226696f87,129,#9632B8FF,1
4,5e48e431abad10c87b94f9887a00d7a8,116,#357EBDFF,7
6,5e4ba03402a627f3f60b77b68fdef427,175,#339900FF,27
5,5e81264cb670888e93cb8132d0d03950,167,#EEA236FF,25
5,5e9f9ddcfab6534cc71b2ef1b15848e7,167,#EEA236FF,14
5,5eb24d0a61730c46503ffd5f2eca440b,167,#EEA236FF,19
6,5f65d87ad5d03ee9410c2cde5f4e47f5,175,#339900FF,36
7,5ff0c8de3284360ad3c5cfa24af2baad,48,#E762D7FF,27
6,6093b0503f624020649b2b37ad340eb8,175,#339900FF,25
4,60d6fafb4509df123387a2f236fbc92c,116,#357EBDFF,1
5,60ef79c7598b4bb8bfac608371581367,167,#EEA236FF,27
1,61880d9ae6e536bd1b5b8acc604df4c8,49,#FAFD7CFF,4
10,625acc495ca69b192d6d3a22940ab977,77,darkgrey,31
10,625cabfbd66e4f32de52ec86cb441744,77,darkgrey,22
4,62a805cf84e274c58c07915cd187628a,116,#357EBDFF,13
3,62cc458b4fba194871df71f518e83ad3,4,#D43F3AFF,1
5,62cf33c3e9519defb0d3e75f62185d78,167,#EEA236FF,5
5,638b5e6d612ba5a4c7f3ddc316cda5b6,167,#EEA236FF,9
4,642d801ca17b69addad4af3bcfca7a94,116,#357EBDFF,6
2,649aa5559b76ef7cc9ff78f305d1a3f5,129,#9632B8FF,43
6,6535f44f34ab933cad7265fa384ce933,175,#339900FF,25
6,654dc88cca10f108ccd52768bb724d04,175,#339900FF,39
2,65818426c1a9431240a966684bb0f3df,129,#9632B8FF,12
6,659ed5c028a49ac18495504f2073e0bb,175,#339900FF,21
6,66c67200caef340a91624d5cb43c7ede,175,#339900FF,15
10,674a9b8432259aefbeca8114c9720f79,77,darkgrey,5
6,6807aad6a5f8c2cd467c5a5058c53520,175,#339900FF,1
6,688550e839137d4b55c6e4e7a98c82dc,175,#339900FF,25
5,688958852d47c0654c2409ee986a49e9,167,#EEA236FF,18
1,69bfc840c6207d6670e7aa72b240c3fe,49,#FAFD7CFF,8
1,69eba855e45cc168dfbaf5319c8131f2,49,#FAFD7CFF,13
10,6a4ef2696ec550b3c80eb625de83e767,77,darkgrey,3
5,6b1c5ad4e40d681d219b5a88ff439beb,167,#EEA236FF,11
6,6b3587294aee13cd62683e92adc09320,175,#339900FF,2
4,6bada9b93743446a47e94a75b699b154,116,#357EBDFF,15
10,6bb49c2f7f9d618b991d84e8882e9343,77,darkgrey,9
7,6c96a1695f90c8c98ef17b98af81c5b3,48,#E762D7FF,16
10,6ca963519d73907b4309d55554ffd58c,77,darkgrey,31
4,6d4e5d09bb5160628961a40061bb9b89,116,#357EBDFF,22
4,6d5a779e41576022cfe66bcd9dcb5adc,116,#357EBDFF,8
6,6de43f94401c774e62c915f5194478f2,175,#339900FF,1
10,6e0abb8f40bb59ddb54555f67b6aadb4,77,darkgrey,26
5,6e5deab2d25a3e7b7e8850bd63f48624,167,#EEA236FF,3
9,712b7d74f33c87926c9666c56a875913,12,#FDAF91FF,1
5,71440c075d1a9f1d2e225a7d40426cc1,167,#EEA236FF,40
2,71f3d3a20bb3b57532615d15c7ea0f50,129,#9632B8FF,45
5,72a81b7b3804f17689aa27929aa6e0a4,167,#EEA236FF,8
4,72ffea71c1a6ff93099ae92e25d7905c,116,#357EBDFF,1
6,7351aa84c90def9240e56aee9f5d6623,175,#339900FF,28
8,73748067baf6a8d8dfd693497d93c01f,16,#7e7b52,3
5,7377220f8ddccd310dee922eb769cfbd,167,#EEA236FF,8
5,74832011071f6275a275e3324595b716,167,#EEA236FF,13
2,75aa322ae960f3da266d0cec494d402a,129,#9632B8FF,27
4,75d8cb1dde14ff14e06a830abdd247e2,116,#357EBDFF,1
10,767d69d9c32031e19182ecf71362378f,77,darkgrey,11
1,76ae1cf252c043e4e446310b2287b209,49,#FAFD7CFF,16
5,76dfe03cf1770d4ae5c703515096f2e9,167,#EEA236FF,31
10,772007c8b80a45f314acbe4e806f37a2,77,darkgrey,4
5,774002d93bc8b2b101753adc59dbd6a3,167,#EEA236FF,16
6,776f04c99effa9b3ffa4455e5ac7a646,175,#339900FF,32
5,77aa620f8e728be05d7d03d853f88967,167,#EEA236FF,11
1,77ad962abeadf0133594754f4c7ce61a,49,#FAFD7CFF,17
2,77d24901cbeffd3474c4fe3bb52d7d7d,129,#9632B8FF,1
6,78108768d4b5d93061284280e2dae3eb,175,#339900FF,25
4,78a0098fcc85c427a91ef77342220436,116,#357EBDFF,3
4,78b5dc854d78b6a44a15f17fff523269,116,#357EBDFF,6
6,79034543545874704961c1c87f21c127,175,#339900FF,10
6,7990db6b9bdefc7890e834e16d5b9b42,175,#339900FF,24
6,79e3ac10a2d72159ce7374eda836582d,175,#339900FF,27
8,7a1011dfbc8b253cb0032a00e74454e9,16,#7e7b52,4
5,7a1744364c77357118f18f188410a6a0,167,#EEA236FF,6
4,7a2078194d59b9c944a83918923ecdf9,116,#357EBDFF,1
7,7a2aee24054fc5614d127025c3903048,48,#E762D7FF,27
5,7ad0875409ba5a4ab47602b358817d72,167,#EEA236FF,1
4,7b731c782416a790f6d0b1b86d46aa5f,116,#357EBDFF,16
